Date : 2022-06-29 23:46:36
Directory : c:\xampp\htdocs\shopbanhanglaravel
Total : 625 files,  94132 codes, 6640 comments, 10523 blanks, all 111295 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\shopbanhanglaravel\config\view.php                                                                    | PHP        |         10 |         20 |          7 |         37 |
| c:\xampp\htdocs\shopbanhanglaravel\database\factories\UserFactory.php                                                 | PHP        |         25 |         13 |          5 |         43 |
| c:\xampp\htdocs\shopbanhanglaravel\database\migrations\2014_10_12_000000_create_users_table.php                       | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\shopbanhanglaravel\database\migrations\2014_10_12_100000_create_password_resets_table.php             | PHP        |         19 |         10 |          4 |         33 |
| c:\xampp\htdocs\shopbanhanglaravel\database\migrations\2019_08_19_000000_create_failed_jobs_table.php                 | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\shopbanhanglaravel\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php      | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\shopbanhanglaravel\database\migrations\2022_06_12_080559_create_tbl_admin_table.php                   | PHP        |         22 |         10 |          4 |         36 |
| c:\xampp\htdocs\shopbanhanglaravel\database\migrations\2022_06_12_100655_create_tbl_category_product.php              | PHP        |         21 |         10 |          4 |         35 |
| c:\xampp\htdocs\shopbanhanglaravel\database\migrations\2022_06_12_142711_create_tbl_brand.php                         | PHP        |         21 |         10 |          4 |         35 |
| c:\xampp\htdocs\shopbanhanglaravel\database\migrations\2022_06_12_145530_create_tbl_product.php                       | PHP        |         26 |         10 |          4 |         40 |
| c:\xampp\htdocs\shopbanhanglaravel\database\migrations\2022_06_15_052243_tbl_customer.php                             | PHP        |         22 |         10 |          4 |         36 |
| c:\xampp\htdocs\shopbanhanglaravel\database\migrations\2022_06_15_055724_tbl_shipping.php                             | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\shopbanhanglaravel\database\migrations\2022_06_15_092626_tbl_payment.php                              | PHP        |         20 |         10 |          4 |         34 |
| c:\xampp\htdocs\shopbanhanglaravel\database\migrations\2022_06_15_092729_tbl_order.php                                | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\shopbanhanglaravel\database\migrations\2022_06_15_093801_tbl_order_details.php                        | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\shopbanhanglaravel\database\seeders\DatabaseSeeder.php                                                | PHP        |         12 |         10 |          5 |         27 |
| c:\xampp\htdocs\shopbanhanglaravel\database\seeders\RolesTableSeeder.php                                              | PHP        |         15 |          5 |          6 |         26 |
| c:\xampp\htdocs\shopbanhanglaravel\database\seeders\UsersTableSeeder.php                                              | PHP        |         39 |          6 |          8 |         53 |
| c:\xampp\htdocs\shopbanhanglaravel\don_vi_hanh_chinh.sql                                                              | SQL        |     11,962 |         32 |          7 |     12,001 |
| c:\xampp\htdocs\shopbanhanglaravel\index.php                                                                          | PHP        |         14 |         30 |         12 |         56 |
| c:\xampp\htdocs\shopbanhanglaravel\lang\en\auth.php                                                                   | PHP        |          6 |         10 |          5 |         21 |
| c:\xampp\htdocs\shopbanhanglaravel\lang\en\pagination.php                                                             | PHP        |          5 |         10 |          5 |         20 |
| c:\xampp\htdocs\shopbanhanglaravel\lang\en\passwords.php                                                              | PHP        |          8 |         10 |          5 |         23 |
| c:\xampp\htdocs\shopbanhanglaravel\lang\en\validation.php                                                             | PHP        |        132 |         30 |          9 |        171 |
| c:\xampp\htdocs\shopbanhanglaravel\package.json                                                                       | JSON       |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\shopbanhanglaravel\phpunit.xml                                                                        | XML        |         29 |          2 |          1 |         32 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\CHANGES.md                                                 | Markdown   |      1,724 |          0 |        485 |      2,209 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\LICENSE.md                                                 | Markdown   |      1,189 |          0 |        248 |      1,437 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\README.md                                                  | Markdown   |         25 |          0 |         15 |         40 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\SECURITY.md                                                | Markdown   |          6 |          0 |          5 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\adapters\jquery.js                                         | JavaScript |          6 |          4 |          0 |         10 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\bender-runner.config.json                                  | JSON       |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\build-config.js                                            | JavaScript |        169 |         24 |          2 |        195 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\ckeditor.js                                                | JavaScript |      1,489 |         12 |          0 |      1,501 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\config.js                                                  | JavaScript |          2 |          7 |          2 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\contents.css                                               | CSS        |        164 |         12 |         33 |        209 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\af.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ar.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\az.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\bg.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\bn.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\bs.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ca.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\cs.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\cy.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\da.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\de-ch.js                                              | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\de.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\el.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\en-au.js                                              | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\en-ca.js                                              | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\en-gb.js                                              | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\en.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\eo.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\es-mx.js                                              | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\es.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\et.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\eu.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\fa.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\fi.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\fo.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\fr-ca.js                                              | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\fr.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\gl.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\gu.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\he.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\hi.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\hr.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\hu.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\id.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\is.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\it.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ja.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ka.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\km.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ko.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ku.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\lt.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\lv.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\mk.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\mn.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ms.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\nb.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\nl.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\no.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\oc.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\pl.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\pt-br.js                                              | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\pt.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ro.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ru.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\si.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\sk.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\sl.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\sq.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\sr-latn.js                                            | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\sr.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\sv.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\th.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\tr.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\tt.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ug.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\uk.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\vi.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\zh-cn.js                                              | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\zh.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\a11yhelp.js                       | JavaScript |          6 |          4 |          0 |         10 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\af.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\ar.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\az.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\bg.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\ca.js                        | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\cs.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\cy.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\da.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\de-ch.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\de.js                        | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\el.js                        | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\en-au.js                     | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\en-gb.js                     | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\en.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\eo.js                        | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\es-mx.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\es.js                        | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\et.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\eu.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\fa.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\fi.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\fo.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\fr-ca.js                     | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\fr.js                        | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\gl.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\gu.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\he.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\hi.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\hr.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\hu.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\id.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\it.js                        | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\ja.js                        | JavaScript |          5 |          4 |          0 |          9 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\km.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\ko.js                        | JavaScript |          6 |          4 |          0 |         10 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\ku.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\lt.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\lv.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\mk.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\mn.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\nb.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\nl.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\no.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\oc.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\pl.js                        | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\pt-br.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\pt.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\ro.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\ru.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\si.js                        | JavaScript |          6 |          4 |          0 |         10 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\sk.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\sl.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\sq.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\sr-latn.js                   | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\sr.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\sv.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\th.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\tr.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\tt.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\ug.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\uk.js                        | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\vi.js                        | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\zh-cn.js                     | JavaScript |          5 |          4 |          0 |          9 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\zh.js                        | JavaScript |          5 |          4 |          0 |          9 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\about\dialogs\about.js                             | JavaScript |          4 |          4 |          0 |          8 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\balloonpanel\skins\kama\balloonpanel.css           | CSS        |        168 |         15 |         38 |        221 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\balloonpanel\skins\moono-lisa\balloonpanel.css     | CSS        |        174 |         15 |         35 |        224 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\balloonpanel\skins\moono\balloonpanel.css          | CSS        |        182 |         16 |         40 |        238 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\balloontoolbar\skins\default.css                   | CSS        |         72 |         10 |         14 |         96 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\balloontoolbar\skins\kama\balloontoolbar.css       | CSS        |         21 |          5 |          5 |         31 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\balloontoolbar\skins\moono-lisa\balloontoolbar.css | CSS        |         32 |          6 |          7 |         45 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\balloontoolbar\skins\moono\balloontoolbar.css      | CSS        |         24 |          5 |          6 |         35 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\clipboard\dialogs\paste.js                         | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\colordialog\dialogs\colordialog.css                | CSS        |         13 |          4 |          4 |         21 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\colordialog\dialogs\colordialog.js                 | JavaScript |         10 |          4 |          0 |         14 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\copyformatting\cursors\cursor-disabled.svg         | XML        |         24 |          0 |          1 |         25 |
